wind(m/s),    lat,     lon
    6.89,   23.24,  281.29
    6.87,   23.23,  281.32
    6.84,   23.23,  281.36
    6.82,   23.23,  281.40
    6.79,   23.22,  281.44
    6.76,   23.22,  281.47
    6.73,   23.22,  281.51
    6.70,   23.21,  281.55
    6.67,   23.21,  281.59
    6.63,   23.21,  281.62
    6.60,   23.20,  281.66
    6.56,   23.20,  281.70
    6.52,   23.20,  281.74
    6.49,   23.19,  281.77
    6.45,   23.19,  281.81
    6.41,   23.19,  281.85
    6.37,   23.18,  281.89
    6.32,   23.18,  281.93
    6.28,   23.18,  281.96
    6.24,   23.17,  282.00
    6.19,   23.17,  282.04
    6.15,   23.17,  282.08
    6.10,   23.16,  282.11
    6.05,   23.16,  282.15
    6.01,   23.16,  282.19
    5.96,   23.15,  282.23
    5.91,   23.15,  282.26
    5.86,   23.15,  282.30
    5.81,   23.14,  282.34
    5.76,   23.14,  282.38
    5.71,   23.14,  282.41
    5.66,   23.13,  282.45
    5.61,   23.13,  282.49
    5.56,   23.12,  282.53
    5.50,   23.12,  282.56
    5.45,   23.12,  282.60
    5.40,   23.11,  282.64
    5.35,   23.11,  282.68
    5.29,   23.11,  282.71
    5.24,   23.10,  282.75
    5.19,   23.10,  282.79
    5.13,   23.09,  282.83
    5.08,   23.09,  282.86
    5.03,   23.09,  282.90
    4.97,   23.08,  282.94
    4.92,   23.08,  282.98
    4.86,   23.07,  283.01
    4.81,   23.07,  283.05
    4.76,   23.07,  283.09
    4.70,   23.06,  283.13
    4.65,   23.06,  283.16
    4.59,   23.06,  283.20
    4.54,   23.05,  283.24
    4.49,   23.05,  283.28
    4.43,   23.04,  283.31
    4.38,   23.04,  283.35
    4.33,   23.03,  283.39
    4.27,   23.03,  283.43
    4.22,   23.03,  283.46
    4.17,   23.02,  283.50
    4.12,   23.02,  283.54
    4.07,   23.01,  283.58
    4.02,   23.01,  283.61
    3.97,   23.01,  283.65
    3.92,   23.00,  283.69
    3.87,   23.00,  283.72
    3.82,   22.99,  283.76
    3.77,   22.99,  283.80
    3.72,   22.99,  283.84
    3.67,   22.98,  283.87
    3.62,   22.98,  283.91
    3.58,   22.97,  283.95
    3.53,   22.97,  283.99
    3.48,   22.96,  284.02
    3.44,   22.96,  284.06
    3.39,   22.95,  284.10
    3.35,   22.95,  284.14
    3.30,   22.95,  284.17
    3.26,   22.94,  284.21
    3.22,   22.94,  284.25
    3.18,   22.93,  284.29
    1.73,   23.54,  276.56
    1.76,   23.54,  276.60
    1.80,   23.54,  276.64
    1.83,   23.54,  276.68
    2.04,   23.53,  276.71
    2.09,   23.53,  276.75
    2.14,   23.53,  276.79
    2.18,   23.53,  276.83
    2.23,   23.53,  276.87
    2.28,   23.53,  276.90
    2.33,   23.53,  276.94
    2.39,   23.53,  276.98
    2.44,   23.52,  277.02
    2.49,   23.52,  277.06
    2.54,   23.52,  277.09
    2.60,   23.52,  277.13
    2.65,   23.52,  277.17
    2.71,   23.52,  277.21
    2.76,   23.52,  277.24
    2.82,   23.51,  277.28
    2.87,   23.51,  277.32
    2.93,   23.51,  277.36
    2.99,   23.51,  277.40
    3.05,   23.51,  277.43
    3.11,   23.51,  277.47
    3.17,   23.51,  277.51
    3.23,   23.50,  277.55
    3.29,   23.50,  277.59
    3.35,   23.50,  277.62
    3.41,   23.50,  277.66
    3.47,   23.50,  277.70
    3.54,   23.50,  277.74
    3.60,   23.49,  277.78
    3.66,   23.49,  277.81
    3.73,   23.49,  277.85
    3.79,   23.49,  277.89
    3.86,   23.49,  277.93
    3.92,   23.49,  277.96
    3.99,   23.48,  278.00
    4.05,   23.48,  278.04
    4.12,   23.48,  278.08
    4.19,   23.48,  278.12
    4.25,   23.48,  278.15
    4.32,   23.48,  278.19
    4.39,   23.47,  278.23
    4.45,   23.47,  278.27
    4.52,   23.47,  278.31
    4.59,   23.47,  278.34
    4.66,   23.47,  278.38
    4.72,   23.46,  278.42
    4.79,   23.46,  278.46
    4.86,   23.46,  278.49
    4.92,   23.46,  278.53
    4.99,   23.46,  278.57
    5.05,   23.45,  278.61
    5.12,   23.45,  278.65
    5.18,   23.45,  278.68
    5.25,   23.45,  278.72
    5.31,   23.45,  278.76
    5.37,   23.44,  278.80
    5.44,   23.44,  278.84
    5.50,   23.44,  278.87
    5.56,   23.44,  278.91
    5.62,   23.44,  278.95
    5.68,   23.43,  278.99
    5.74,   23.43,  279.02
    5.80,   23.43,  279.06
    5.86,   23.43,  279.10
    5.92,   23.43,  279.14
    5.97,   23.42,  279.18
    6.03,   23.42,  279.21
    6.08,   23.42,  279.25
    6.14,   23.42,  279.29
    6.19,   23.41,  279.33
    6.24,   23.41,  279.36
    6.29,   23.41,  279.40
    6.35,   23.41,  279.44
    6.39,   23.40,  279.48
    6.44,   23.40,  279.52
    6.49,   23.40,  279.55
    6.54,   23.40,  279.59
    6.58,   23.39,  279.63
    6.62,   23.39,  279.67
    6.67,   23.39,  279.70
    6.71,   23.39,  279.74
    6.75,   23.38,  279.78
    6.79,   23.38,  279.82
    6.82,   23.38,  279.86
    6.86,   23.38,  279.89
    6.89,   23.37,  279.93
    6.92,   23.37,  279.97
    6.96,   23.37,  280.01
    6.99,   23.37,  280.04
    7.01,   23.36,  280.08
    7.04,   23.36,  280.12
    7.07,   23.36,  280.16
    7.09,   23.36,  280.20
    7.11,   23.35,  280.23
    7.13,   23.35,  280.27
    7.15,   23.35,  280.31
    7.17,   23.35,  280.35
